id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
1,2025,Indian Express - Politics,1,"BJP would have won Bengal polls, but Covid played spoilsport: JP Nadda",,,Bharatiya Janata Party;JP Nadda;West Bengal,https://indianexpress.com/article/india/politics/bjp-would-have-won-bengal-polls-but-covid-played-spoilsport-jp-nadda-7961669/
2,2025,Indian Express - Politics,2,CBI files charge sheet against A Raja in disproportionate assets case,,,A. Raja;CBI;DMK;Tamil Nadu,https://indianexpress.com/article/india/politics/cbi-charge-sheet-dmk-a-raja-disproportionate-assets-8201666/
3,2025,Indian Express - Politics,3,"Ex-Bihar MLA, on the run for over two decades, arrested near India-Nepal border",,,Bihar,https://indianexpress.com/article/india/politics/ex-bihar-mla-ranjan-tiwary-arrested-near-india-nepal-border-8099390/
4,2025,Indian Express - Politics,4,GDP figure exposes lies of Rahul Gandhi’s ‘market of hate’ against India’s development: BJP,,,GDP;Rahul Gandhi;Ravishankar Prasad,https://indianexpress.com/article/india/politics/gdp-figure-exposes-lies-rahuls-market-indias-bjp-8640445/
5,2025,Indian Express - Politics,5,"Tejashwi by his side, Nitish meets Soren, takes dig at BJP: Is vikas taking place?",,,Bihar Chief Minister Nitish Kumar;Hemant Soren;Nitish Kumar;Political Pulse;Tejashwi Prasad;Tejashwi Prasad Yadav,https://indianexpress.com/article/india/politics/tejashwi-by-his-side-nitish-meets-soren-takes-dig-at-bjp-is-vikas-taking-place-8602711/
6,2025,Indian Express - Politics,6,"Union Minister Tudu, BJP delegation detained, denied permission to enter Sambalpur city",,,Bharatiya Janata Party;Odisha;Sambalpur,https://indianexpress.com/article/india/politics/union-bjp-bishweswar-tudu-detained-sambalpur-8562845/
