id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
524,2025,Indian Express - Entertainment,524,Huma Qureshi disagrees with Kajol and Twinkle Khanna’s view that emotional cheating is worse than physical cheating: ‘Don’t understand this free pass’,,,Huma Qureshi,https://indianexpress.com/article/entertainment/bollywood/huma-qureshi-rejects-kajol-and-twinkle-khannas-view-that-emotional-cheating-is-worse-than-physical-cheating-dont-understand-this-free-pass-10370044/
525,2025,Indian Express - Entertainment,525,"Humans in the Loop enters Oscar race, receives Film Independent’s Sloan Distribution Grant",,,A post shared by Museum of Imagined Futures (@museumofimaginedfutures),https://indianexpress.com/article/entertainment/bollywood/humans-in-the-loop-enters-oscar-race-receives-film-independents-sloan-distribution-grant-10370463/
526,2025,Indian Express - Entertainment,526,"Kartik Aaryan joins Himesh Reshammiya on stage during his Mumbai concert, Huma Qureshi makes her relationship official with Rachit Singh. Watch",,,A post shared by Viral Bhayani (@viralbhayani),https://indianexpress.com/article/entertainment/bollywood/kartik-aaryan-joins-himesh-reshammiya-on-stage-during-his-mumbai-concert-huma-qureshi-makes-her-relationship-official-with-rachit-singh-watch-10370025/
527,2025,Indian Express - Entertainment,527,Malaika Arora responds to trolling over personal life and her ‘item numbers’: ‘I’ve learned to focus on my truth’,,,Malaika Arora;Malaika Arora Khan,https://indianexpress.com/article/entertainment/bollywood/malaika-arora-responds-to-trolling-over-personal-life-and-her-item-numbers-ive-learned-to-focus-on-my-truth-10369944/
528,2025,Indian Express - Entertainment,528,"Ranveer Singh, Deepika Padukone, Aamir Khan and MS Dhoni enjoy a musical evening in Gujarat. See pics",,,A post shared by Pratibha Singh Baghel (@iampratibhasingh),https://indianexpress.com/article/entertainment/bollywood/ranveer-singh-deepika-padukone-aamir-khan-and-ms-dhoni-enjoy-a-musical-evening-in-gujarat-see-pics-10369070/
529,2025,Indian Express - Entertainment,529,"Shah Rukh Khan says he’ll live for 200-250 years, will be a star for the next 100 years: ‘I believe in Om Shanti Om’s manifestation mantra’",,,farah khan;Shah Rukh Khan,https://indianexpress.com/article/entertainment/bollywood/shah-rukh-khan-says-hell-live-for-200-250-years-will-be-a-star-for-the-next-100-years-i-believe-in-om-shanti-oms-manifestation-mantra-10370396/
530,2025,Indian Express - Entertainment,530,"Vijayta Pandit says ‘money minded’ Rajendra Kumar destroyed her career, ‘brainwashed’ son Kumar Gaurav into marrying Sanjay Dutt’s sister: ‘My life became tragedy’",,,Rajendra Kumar,https://indianexpress.com/article/entertainment/bollywood/vijayta-pandit-says-money-minded-rajendra-kumar-destroyed-her-career-brainwashed-son-kumar-gaurav-into-marrying-sanjay-dutts-sister-10370322/
531,2025,Indian Express - Entertainment,531,"Meera Vasudevan confirms third divorce, says ‘single since August 2025’: ‘In most wonderful and peaceful phase of my life’",,,A post shared by Meera Vasudevan (@officialmeeravasudevan),https://indianexpress.com/article/entertainment/malayalam/meera-vasudevan-confirms-third-divorce-says-single-since-august-2025-in-most-wonderful-and-peaceful-phase-of-my-life-10370289/
532,2025,Indian Express - Entertainment,532,"Prithviraj speaks out on Empuraan controversy, says he will never make a film to deliver political statement: ‘After investing crores…’",,,Empuraan;Malayalam Cinema;Malayalam film industry;Mohanlal;Prithviraj Sukumaran,https://indianexpress.com/article/entertainment/malayalam/prithviraj-speaks-out-on-l2-empuraan-controversy-says-he-will-never-make-a-film-to-deliver-political-statement-10369305/
533,2025,Indian Express - Entertainment,533,Prithviraj Sukumaran reveals how late director Sachy sparked Vilaayaath Budha’s film adaptation,,,Prithviraj;Prithviraj Sukumaran,https://indianexpress.com/article/entertainment/malayalam/prithviraj-sukumaran-reveals-how-late-director-sachy-sparked-vilaayaath-budhas-film-adaptation-10370314/
534,2025,Indian Express - Entertainment,534,Malayalam’s greatest actor served in Army and police before cinema; kept working despite coughing up blood on set due to leukaemia,,,Malayalam Cinema;Malayalam film industry;Once Upon a Time in Mollywood,https://indianexpress.com/article/entertainment/malayalam/sathyan-served-in-army-and-police-before-cinema-kept-working-despite-coughing-up-blood-on-set-due-to-leukaemia-10368987/
535,2025,Indian Express - Entertainment,535,"Kaantha box office collection Day 3: Dulquer Salmaan’s period drama collects Rs 18 cr worldwide, unlikely to pass Monday test amid dip",,,Dulquer Salmaan;Rana Daggubati,https://indianexpress.com/article/entertainment/tamil/kaantha-box-office-collection-day-3-dulquer-salmaans-period-drama-collects-rs-18-cr-worldwide-unlikely-to-pass-monday-test-amid-dip-10369931/
536,2025,Indian Express - Entertainment,536,"Amitabh Bachchan reacts as stand-up asks why he kept Karva Chauth fast, questions his film choice: ‘If all of your kids turned out bad…’",,,Amitabh Bachchan;Baghban,https://indianexpress.com/article/entertainment/television/amitabh-bachchan-reacts-as-stand-up-asks-why-he-kept-karva-chauth-fast-questions-his-film-choice-if-all-of-your-kids-turned-out-bad-10370094/
537,2025,Indian Express - Entertainment,537,"Pati, Patni, Aur Panga winners are Rubina Dilaik-Abhinav Shukla, defeat Gurmeet Choudhary and Debina Bonnerjee",,,Abhinav Shukla;rubina dilaik,https://indianexpress.com/article/entertainment/television/rubina-dilaik-abhinav-shukla-win-munawar-faruquri-and-sonali-bendre-hosted-pati-patni-aur-panga-10368979/
538,2025,Indian Express - Entertainment,538,"Awkward conversations and constant interruptions, Kajol and Twinkle Khanna’s show has nothing much to say",,,A post shared by prime video IN (@primevideoin),https://indianexpress.com/article/entertainment/web-series/awkward-conversations-and-constant-interruptions-kajol-and-twinkle-khannas-show-has-nothing-much-to-say-10369878/
539,2025,Indian Express - Entertainment,539,"2010: The year Bollywood went independent with LSD, Ishqiya, Udaan",,,25 years of Indian Cinema;Ishqiya;LSD;Udaan,https://indianexpress.com/article/entertainment/bollywood/2010-the-year-bollywood-went-independent-with-lsd-ishqiya-udaan-10367920/
540,2025,Indian Express - Entertainment,540,Ajay Devgn reveals he watched a man fall to his death seconds before performing skydiving stunt: ‘It was me next’,,,Ajay Devgn;R Madhavan,https://indianexpress.com/article/entertainment/bollywood/ajay-devgn-reveals-he-watched-a-man-fall-to-his-death-seconds-before-performing-skydiving-stunt-it-was-me-next-10367768/
541,2025,Indian Express - Entertainment,541,Anil Sharma on Dharmendra’s shelved James Bond-style spy thriller Sher: ‘Dharam ji did highly stylish action and lovely comedy scenes’,,,Dharmendra,https://indianexpress.com/article/entertainment/bollywood/anil-sharma-reminisces-about-dharmendras-shelved-james-bond-style-spy-thriller-sher-10368600/
542,2025,Indian Express - Entertainment,542,"‘Before India, I realised I am a disaster’: Chirag Paswan quit Bollywood after flop film with Kangana Ranaut failed to earn even Rs 1 cr",,,bihar elections;Bihar politics;Chirag Paswan;Kangana Ranaut;lok janshakti party;Ram Vilas Paswan;Union Minister,https://indianexpress.com/article/entertainment/bollywood/chirag-paswan-left-mumbai-after-a-flop-romantic-film-with-kangana-ranauat-to-become-a-key-player-in-bihar-politics-10368756/
