id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
27,2025,Indian Express - Sports,27,‘Rohit & Kohli are performing… stop messing with the minds of such big players’: MSK Prasad slams team management,,,Ajit Agarkar;Cricket;Gautam Gambhir;Indian cricket;MSK Prasad;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/stop-messing-with-minds-of-rohit-kohli-msk-prasad-to-management-10398037/
28,2025,Indian Express - Sports,28,‘Inclusion of those two guys that does bolster the team’: Temba Bavuma on Virat Kohli and Rohit Sharma’s impact on India side,,,India Vs South Africa;Rohit Sharma;Temba Bavuma;Virat Kohli,https://indianexpress.com/article/sports/cricket/temba-bavuma-rohit-sharma-virat-kohli-inclusion-impact-india-sa-10398392/
29,2025,Indian Express - Sports,29,"Time for the BCCI to ensure there’s no ill will between Virat Kohli, coach Gautam Gambhir and chief selector Ajit Agarkar",,,Ajit Agarkar;Cricket;Cricket News;Gautam Gambhir;Indian cricket;Indian cricket coach;Indian Cricket News;Virat Kohli,https://indianexpress.com/article/sports/cricket/time-for-bcci-to-ensure-no-ill-will-kohli-gambhir-agarkar-10396400/
30,2025,Indian Express - Sports,30,"IND vs SA: Virat Kohli cracks 84th international century, blasts consecutive ODI hundreds for record 11th time in career",,,India Vs South Africa;Virat Kohli,https://indianexpress.com/article/sports/cricket/virat-kohli-84th-hundred-consecutive-odi-tons-record-11th-ind-vs-sa-raipur-10400031/
31,2025,Indian Express - Sports,31,"‘Virat Kohli shouldn’t be forced to play Vijay Hazare Trophy, the quality isn’t high’: Former India batter questions domestic cricket push",,,India Vs South Africa;Vijay Hazare Trophy;Virat Kohli,https://indianexpress.com/article/sports/cricket/virat-kohli-not-to-be-forced-to-play-domestic-vht-kaif-10399767/
32,2025,Indian Express - Sports,32,"Virat Kohli and Rohit Sharma playing like 28-year-olds, it should be their call on future: Madan Lal",,,India Vs South Africa;Madan Lal;Rohit Sharma;Virat Kohli,https://indianexpress.com/article/sports/cricket/virat-kohli-rohit-sharma-call-on-future-madan-lal-10398890/
33,2025,Indian Express - Sports,33,‘You’re wearing them the wrong way’: Steve Smith reveals conversation with Shivnarine Chanderpaul about wearing eye blacks for Pink-Ball Ashes Test,,,Steve Smith,https://indianexpress.com/article/sports/cricket/wearing-them-wrong-steve-smith-chanderpaul-chat-eye-patch-ashes-2025-10399898/
34,2025,Indian Express - Sports,34,"‘Yashasvi, Ruturaj please score some runs’: Ex-India opener questions batting order in SA series, ‘Are we setting up to fail?’",,,India Vs South Africa;Ruturaj Gaikwad;Yashasvi jaiswal,https://indianexpress.com/article/sports/cricket/yashasvi-ruturaj-score-runs-please-india-vs-sa-2nd-odi-chopra-10399632/
35,2025,Indian Express - Sports,35,VAR set to adjudicate on awarding of corners at 2026 FIFA World Cup,,,FIFA;VAR,https://indianexpress.com/article/sports/football/var-set-to-adjudicate-awarding-corners-2026-fifa-world-cup-10400169/
36,2025,Indian Express - Sports,36,FIH Junior World Cup: India overcome fighting Switzerland with all-round efficiency to enter quarterfinals,,,Hockey World Cup,https://indianexpress.com/article/sports/hockey/fih-junior-world-cup-india-switzerland-enter-quarterfinals-10398882/
37,2025,Indian Express - Sports,37,"Amid complaints over ‘behaviour’, women’s hockey coach Harendra Singh quits citing ‘personal reasons’",,,Indian women hockey team,https://indianexpress.com/article/sports/hockey/harendra-singh-resigns-complaints-behaviour-womens-coach-india-10396744/
38,2025,Indian Express - Sports,38,Hockey Junior World Cup: Why the stadium is a blessing for Madurai and the neighbouring districts,,,Hockey World Cup,https://indianexpress.com/article/sports/hockey/hockey-junior-world-cup-madurai-international-stadium-blessing-10398441/
39,2025,Indian Express - Sports,39,Isack Hadjar to partner Max Verstappen in 2026 as Lindblad arrives in F1,,,Formula One;Max Verstappen,https://indianexpress.com/article/sports/motor-sport/isack-hadjar-to-partner-max-verstappen-f1-10398862/
40,2025,Indian Express - Sports,40,"What’s Racketlon: Criss crossing TT, badminton, squash and tennis courts",,,badminton;squash;table tennis;tennis,https://indianexpress.com/article/sports/sport-others/racketlon-criss-crossing-tt-badminton-squash-tennis-courts-10396459/
